time,latitude (deg),longitude (deg), FMTID, YEAR, MONTH, DAY, HOUR, MIN,surf temperature (degC),barometric_pressure (hPa),air temperature (degC), VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body,Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-08-11 22:00:00,-55.5242,3.8682,40,2019,8,11,22,0,-1.1,987.4,0.1,15.2,0,36,190,13, 282705D80ABD26C03FFCC37FC000A856DC0E5B7E7F,ISVP1_30min,1779.6122471413782,3495.8699933339735,3922.770291575644,1800.0,2.1793168286531355,0.988673470634099,1.942149996296652,240.40077840244146,168.17831628845934,293.38793486801876
2019-08-11 22:30:00,-55.5144,3.876,40,2019,8,11,22,30,-1.1,987.4,0.0,15.2,0,36,142,12, 282705D9EABD26BFFFFCC33FC000A8631C0EA91E7F,ISVP1_30min,492.6255775533593,1091.064012204231,1197.1218143476356,1800.0,0.6650676746375753,0.27368087641853295,0.606146673446795,240.8741619644971,169.26938030066304,294.40191067564297
2019-08-11 23:00:00,-55.5048,3.8844,40,2019,8,11,23,0,-1.1,987.4,0.0,15.2,0,40,96,10, 282705DC0ABD26BFFFFCC2BFC000A86F1C0EFCC2BF,ISVP1_30min,530.6517090725656,1068.795696009774,1193.2792951152098,1800.0,0.6629329417306721,0.29480650504031425,0.5937753866720967,241.38395876768766,170.3381759966731,295.434103908527
2019-08-11 23:30:00,-55.4958,3.8934,40,2019,8,11,23,30,-1.1,987.3,-0.1,15.2,0,36,48,10, 282705DDEABB26BFBFFCC2BFC000A87A5C0F56627F,ISVP1_30min,568.6937777356725,1001.994433465183,1152.1308335126196,1800.0,0.6400726852847887,0.31594098763092915,0.5566635741473238,241.93016861453196,171.34017043013827,296.45853080807893
2019-08-12 00:00:00,-55.4876,3.9048,40,2019,8,12,0,0,-1.1,987.5,0.1,15.2,0,36,120,9, 282706000ABF26C03FFCC27FC000A8849C0FC8F27F,ISVP1_30min,720.5097534774781,912.9269710754718,1163.0004124561656,1800.0,0.6461113402534253,0.4002831963763767,0.5071816505974843,242.62203291146957,172.2530974012136,297.5509711266394
2019-08-12 00:30:00,-55.4806,3.9178,40,2019,8,12,0,30,-1.1,987.5,0.1,15.2,0,36,86,23, 28270601EABF26C03FFCC5FFC000A88D5C104AAE7F,ISVP1_30min,821.8046187930511,779.3269284642076,1132.569332490973,1800.0,0.6292051847172072,0.45655812155169506,0.43295940470233757,243.4109989053399,173.03242432967727,298.64549930896476
2019-08-12 01:00:00,-55.4726,3.932,40,2019,8,12,1,0,-1.1,987.3,0.0,15.2,0,40,112,18, 282706040ABB26BFFFFCC4BFC000A8975C10D8E2BF,ISVP1_30min,897.8226526220512,890.6582485795394,1264.6571200622202,1800.0,0.7025872889234557,0.49879036256780623,0.4948101380997441,244.27279000802952,173.92308257825673,299.8640268385489
2019-08-12 01:30:00,-55.4644,3.9446,40,2019,8,12,1,30,-1.1,989.9,2.4,15.2,0,40,136,28, 28270605EAEF26C5FFFCC73FC000A8A19C115712BF,ISVP1_30min,796.8209100883851,912.9234889220758,1211.7561055673445,1800.0,0.6731978364263025,0.44267828338243614,0.5071797160678199,245.03747567619942,174.83600606717843,301.01660004605475
2019-08-12 02:00:00,-55.4566,3.9556,40,2019,8,12,2,0,-1.1,990.3,2.7,15.2,0,40,148,8, 282706080AF726C6BFFCC23FC000A8AB5C11C52ABF,ISVP1_30min,695.7816916326569,868.3894934002653,1112.7499605298449,1800.0,0.6181944225165805,0.38654538424036494,0.4824386074445918,245.70505669676547,175.70439556057912,302.06457836970753
2019-08-12 02:30:00,-55.45,3.9648,40,2019,8,12,2,30,-1.1,990.9,3.5,15.2,0,40,70,10, 28270609EB0326C8BFFCC2BFC000A8B39C12208EBF,ISVP1_30min,582.0413655757027,734.7902397326454,937.3840449077354,1800.0,0.5207689138376308,0.32335631420872374,0.4082167998514697,246.26339596238404,176.4391858003117,302.9462765521353
2019-08-12 03:00:00,-55.4438,3.975,40,2019,8,12,3,0,-1.2,993.2,3.2,15.2,0,40,80,11, 2827060C0B312647FFFCC2FFC000A8BB5C1286A2BF,ISVP1_30min,645.4144748056854,690.2567713438608,944.9943146256223,1800.0,0.5249968414586791,0.35856359711426966,0.38347598407992267,246.8824229717186,177.12944257165515,303.8515594795127
2019-08-12 03:30:00,-55.437,3.9848,40,2019,8,12,3,30,-1.2,991.7,1.4,15.2,0,40,70,25, 2827060DEB1326437FFCC67FC000A8C3DC12E88EBF,ISVP1_30min,620.201340149319,757.055004308496,978.6633649378872,1800.0,0.5437018694099374,0.344556300082955,0.42058611350471997,247.47717311447317,177.88649757596414,304.7762412534389
2019-08-12 04:00:00,-55.4308,3.9954,40,2019,8,12,4,0,-1.2,992.1,1.2,15.2,0,40,118,10, 282706100B1B2642FFFCC2BFC000A8CB9C1352EEBF,ISVP1_30min,670.9453644963378,690.2552952759003,962.6110610186981,1800.0,0.5347839227881657,0.3727474247201877,0.3834751640421668,248.12047285411415,178.57675287124047,305.7015304433154
2019-08-12 04:00:00,-55.4308,3.9954,40,2019,8,12,4,0,-1.2,992.1,1.2,15.2,0,40,118,10, 282706100B1B2642FFFCC2BFC000A8CB9C1352EEBF,ISVP1_30min,0.0,0.0,0.0,0.0,,,,248.12047285411415,178.57675287124047,305.7015304433154
2019-08-12 04:30:00,-55.426,4.007,40,2019,8,12,4,30,-1.1,992.6,-0.6,15.2,0,40,104,8, 28270611EB2526BE7FFCC23FC000A8D19C13C6D2BF,ISVP1_30min,734.357175316608,534.3907128062851,908.2146744424454,1800.0,0.5045637080235807,0.40797620850922667,0.29688372933682505,248.82445953481457,179.1111435840467,306.5850834903381
2019-08-12 05:00:00,-55.4212,4.0204,40,2019,8,12,5,0,-1.1,992.9,1.2,15.2,0,36,148,4, 282706140B2B26C2FFFCC13FC000A8D79C144D2A7F,ISVP1_30min,848.4120613462335,534.3902907872732,1002.684401357412,1800.0,0.5570468896430066,0.4713400340812408,0.2968834948818185,249.6376832923597,179.645533874834,307.55729671193075
2019-08-12 05:30:00,-55.4154,4.0304,40,2019,8,12,5,30,-1.2,993.0,0.9,15.2,0,40,58,16, 28270615EB2D26423FFCC43FC000A8DEDC14B076BF,ISVP1_30min,633.2201244642363,645.7210382667971,904.3911682932631,1800.0,0.5024395379407017,0.3517889580356868,0.3587339101482206,250.24456512742773,180.29125491310054,308.42710479780476
2019-08-12 06:00:00,-55.4092,4.0426,40,2019,8,12,6,0,-1.2,993.6,1.1,15.2,0,40,72,22, 282706180B392642BFFCC5BFC000A8E69C152A92BF,ISVP1_30min,772.6417523444037,690.2528421792558,1036.0619014336796,1800.0,0.5755899452409331,0.42924541796911314,0.3834738012106977,250.98495914833174,180.98150775527978,309.43134273706687
2019-08-12 06:30:00,-55.4032,4.0548,40,2019,8,12,6,30,-1.1,994.1,1.2,15.2,0,36,88,10, 28270619EB4326C2FFFCC2BFC000A8EE1C15A4B27F,ISVP1_30min,772.7627512644256,667.9859509176712,1021.4536212502013,1800.0,0.5674742340278897,0.4293126395913475,0.3711033060653729,251.7253511656456,181.64949370619757,310.4226006320827
2019-08-12 07:00:00,-55.3978,4.0674,40,2019,8,12,7,0,-1.1,994.5,1.5,15.2,0,40,72,7, 2827061C0B4B26C3BFFCC1FFC000A8F4DC162292BF,ISVP1_30min,798.2201607775205,601.1867918653323,999.2902400128909,1800.0,0.5551612444516061,0.44345564487640027,0.33399266214740686,252.4900162215854,182.25068049806268,311.3944746356033
