time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-11-01 01:00:00+00:00,-59.397,8.556,,Point,-2.57,977.2,ISVP6,170.45397187298732,-378.76662777589735,415.35372255946174,3600.0,0.11537603404429493,0.04734832552027426,-0.10521295215997148,22.742020617589148,2.8518850161209772,22.9201385230549
2019-11-01 02:00:00+00:00,-59.4008,8.5572,,Point,-2.65,976.9,ISVP6,68.17476093103431,-423.32764274753083,428.7821021710034,3600.0,0.11910613949194539,0.018937433591953975,-0.11759101187431412,22.81024647333793,3.2752126588684582,23.044182826371554
2019-11-01 03:00:00+00:00,-59.4046,8.5572,,Point,-2.88,976.7,ISVP6,0.0,-423.3278910317991,423.3278910317991,3600.0,0.1175910808421664,0.0,-0.1175910808421664,22.81024647333793,3.6985405498999304,23.108148917074242
2019-11-01 04:00:00+00:00,-59.408,8.5566,,Point,-2.88,976.9,ISVP6,-34.07974892975002,-378.76727083816337,380.29735043161344,3600.0,0.1056381528976704,-0.00946659692493056,-0.10521313078837871,22.776133545694723,4.077307820738227,23.138208624618578
2019-11-01 05:00:00+00:00,-59.411,8.5558,,Point,-2.38,976.9,ISVP6,-45.43511283290254,-334.2065804877607,337.28087393070575,3600.0,0.09368913164741827,-0.01262086467580626,-0.09283516124660018,22.730649641451375,4.411514401225535,23.154781200318734
2019-11-01 06:00:00+00:00,-59.4132,8.555,,Point,-1.56,977.2,ISVP6,-45.43109586891983,-245.08492402242575,249.2601140474127,3600.0,0.06923892056872576,-0.01261974885247773,-0.06807914556178493,22.68516573638772,4.656599325248282,23.158166200355375
2019-11-01 07:00:00+00:00,-59.4148,8.5542,,Point,0.42,977.8,ISVP6,-45.42815001512827,-178.24363336532332,183.94159303721602,3600.0,0.05109488695478223,-0.012618930559757852,-0.04951212037925648,22.63968183050541,4.834842958613698,23.150181420908417
2019-11-01 08:00:00+00:00,-59.4156,8.554,,Point,2.7,978.4,ISVP6,-11.356501883384617,-89.12183318473696,89.84248040451354,3600.0,0.024956244556809316,-0.003154583856495727,-0.024756064773538044,22.628310853907134,4.92396479179839,23.157847079811233
2019-11-01 09:00:00+00:00,-59.4162,8.5538,,Point,3.27,978.8,ISVP6,-11.356234069801722,-66.84138210784133,67.79922134017895,3600.0,0.018833117038938595,-0.003154509463833812,-0.01856705058551148,22.61693987725782,4.990806173906589,23.161047378670055
2019-11-01 10:00:00+00:00,-59.4164,8.5534,,Point,4.56,979.2,ISVP6,-22.712066416360273,-22.280462078019635,31.815985782484113,3600.0,0.008837773828467808,-0.006308907337877853,-0.006189017243894343,22.594197923806064,5.013086635984584,23.143656094921766
2019-11-01 11:00:00+00:00,-59.416,8.5532,,Point,3.45,979.6,ISVP6,-11.355966253975668,44.56092346866362,45.985148362721745,3600.0,0.012773652322978262,-0.0031544350705487965,0.012378034296851005,22.582826947003777,4.968525712515346,23.12293927411146
2019-11-01 12:00:00+00:00,-59.4156,8.5528,,Point,4.67,979.9,ISVP6,-22.71220032441349,44.560920717006525,50.01519467845376,3600.0,0.013893109632903822,-0.006308944534559303,0.012378033532501812,22.560084993246342,4.92396479179839,23.091185854636592
2019-11-01 13:00:00+00:00,-59.4156,8.5532,,Point,6.48,980.2,ISVP6,22.712468139678762,0.0,22.712468139678762,3600.0,0.006309018927688545,0.006309018927688545,0.0,22.582826947003777,4.92396479179839,23.113405248668794
2019-11-01 14:00:00+00:00,-59.4158,8.5538,,Point,6.37,980.4,ISVP6,34.06870220940383,-22.28046001436588,40.707436282389416,3600.0,0.011307621189552615,0.009463528391501065,-0.006189016670657189,22.61693987725782,4.946245251813411,23.15148616185539
2019-11-01 15:00:00+00:00,-59.416,8.5546,,Point,4.02,980.5,ISVP6,45.424668464067395,-22.28046070236851,50.594658158547,3600.0,0.0140540717107075,0.012617963462240943,-0.006189016861769031,22.662423783548842,4.968525712515346,23.200683168844108
2019-11-01 16:00:00+00:00,-59.4162,8.556,,Point,2.92,980.3,ISVP6,79.49270113385377,-22.280461390725304,82.55609301159907,3600.0,0.02293224805877752,0.022081305870514937,-0.006189017052979251,22.742020617589148,4.990806173906589,23.283205278405163
2019-11-01 17:00:00+00:00,-59.4158,8.5596,,Point,-1.34,980.5,ISVP6,204.408597722313,44.56092209336597,209.20934635100176,3600.0,0.05811370731972271,0.056780166033975836,0.01237803391482388,22.946698179273376,4.946245251813411,23.473736375399525
