time,latitude (deg),longitude (deg),Altitude,temperature (degC),Battery Voltage,Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2019-11-05 00:00:10+00:00,-59.49023333,10.92341667,8165,-2,6.5 V,Trident_U4,1301.7305735088096,-4263.030361164091,0.3093230854624312,0.09033522369943162,-0.295838331794871
2019-11-05 04:00:10+00:00,-59.51123333,10.99318333,11,-2,6.3 V,Trident_U4,3952.713464431195,-2339.478971624023,0.3189693446959158,0.27449399058549967,-0.1624638174738905
2019-11-05 08:00:28+00:00,-59.52718333,11.02788333,6,0,6.4 V,Trident_U4,1964.7492055012701,-1776.895037068518,0.18373383580566074,0.13627057882516785,-0.12324143688920224
2019-11-05 12:00:28+00:00,-59.5561,11.06308333,1,2,6.4 V,Trident_U4,1992.1189324645693,-3221.4460735206458,0.2630308844401986,0.13834159253226175,-0.22371153288337817
2019-11-05 16:00:10+00:00,-59.57391667,11.13435,8164,0,6.5 V,Trident_U4,4029.8323021773194,-1984.8636792945833,0.31234390420611713,0.28019971507282154,-0.13801026834199578
2019-11-05 20:00:29+00:00,-59.55906667,11.17838333,4,-2,6.4 V,Trident_U4,2488.585606737981,1654.3625921489818,0.2072478114902063,0.1725907210443152,0.11473490478874969
2019-11-06 00:00:11+00:00,-59.53891667,11.1841,8162,-5,6.5 V,Trident_U4,323.22537928988226,2244.8024554251833,0.1576938825453819,0.022474299769843015,0.15608416461028948
2019-11-06 04:00:29+00:00,-59.5272,11.18961667,5,-6,6.3 V,Trident_U4,312.10353447821984,1305.2875969835932,0.09308379016249757,0.02164679806340823,0.09053180725368243
2019-11-06 08:00:28+00:00,-59.51086667,11.20978333,4,4,6.4 V,Trident_U4,1141.3172066868913,1819.5995130843216,0.1491712605256055,0.0792636437729628,0.12636985298175718
2019-11-06 12:00:10+00:00,-59.51506667,11.22361667,0,-2,6.4 V,Trident_U4,783.2662515573608,-467.89667600578633,0.0634388707087268,0.05446156664979563,-0.032533491587107936
2019-11-06 16:00:22+00:00,-59.5442,11.26228333,0,-2,6.4 V,Trident_U4,2189.09715915577,-3245.576964495425,0.27163702782754845,0.15189405767109146,-0.22519962284869727
2019-11-06 20:00:28+00:00,-59.55815,11.33451667,6,-2,6.3 V,Trident_U4,4085.934263186312,-1554.0945298453746,0.30345039888822767,0.2836272569197773,-0.10787828195511416
2019-11-07 00:00:28+00:00,-59.53705,11.36766667,1,-3,6.3 V,Trident_U4,1874.3800889577522,2350.636310877634,0.20878182955636163,0.13016528395539945,0.1632386326998357
2019-11-07 04:00:28+00:00,-59.5377,11.35393333,3,-3,6.3 V,Trident_U4,-777.0015191561411,-72.41285295894744,0.05419225633274782,-0.05395843883028757,-0.00502867034437135
2019-11-07 08:00:28+00:00,-59.56135,11.3936,1,3,6.4 V,Trident_U4,2244.2078183586314,-2634.718730891155,0.24034411739634265,0.15584776516379384,-0.18296657853410797
2019-11-07 12:00:28+00:00,-59.5483,11.48666667,6,5,6.4 V,Trident_U4,5261.711940753221,1453.831183263353,0.37908804166041477,0.365396662552307,0.10096049883773285
2019-11-07 16:00:28+00:00,-59.51385,11.5482,2,1,6.4 V,Trident_U4,3480.2571756120883,3837.877483948924,0.35978317259136394,0.2416845260841728,0.2665192697186753
2019-11-07 20:00:28+00:00,-59.49016667,11.60581667,1,-1,6.4 V,Trident_U4,3262.0616358159764,2638.412542601339,0.29135455242048036,0.22653205804277612,0.1832230932362041
2019-11-08 00:00:28+00:00,-59.47055,11.67501667,1,-2,6.4 V,Trident_U4,3920.616395359231,2185.3639469384484,0.311704608907857,0.27226502745550213,0.1517613852040589
2019-11-08 04:00:28+00:00,-59.45336667,11.73935,9,-2,6.4 V,Trident_U4,3647.002700393547,1914.27614219875,0.2860325694959364,0.25326407641621856,0.13293584320824653
2019-11-08 08:00:28+00:00,-59.44641667,11.79086667,3,2,6.4 V,Trident_U4,2921.91944978226,774.2500689295542,0.20991387077002222,0.20291107290154584,0.05376736589788571
2019-11-08 12:00:10+00:00,-59.45401667,11.84711667,3,5,6.5 V,Trident_U4,3191.0387685343026,-846.6619883079885,0.22955422861675873,0.22187726105787112,-0.05886955835822476
