time,Unit_ID,latitude (deg),longitude (deg),Altitude,Bearing,Speed,temperature (degC),Battery Level,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2017-07-10 12:00:28,Trident_U2,-62.38335,30.7299,3,123,0.8,-3.0,4.3,1854.741654563736,-2639.1737670669063,3225.725465371774,14400.0,0.22400871287303986,0.12880150378914831,-0.18327595604631294,26.82157537264471,49.89077318262531,56.64350054711155
2017-07-10 16:00:28,Trident_U2,-62.38175,30.84402,0,89,1.47,-8.0,4.3,5904.418506763185,178.32283681920356,5907.110709741172,14400.0,0.41021602150980363,0.4100290629696656,0.012383530334666914,32.63770627079246,50.069096019444736,59.76733427904328
2017-07-10 20:00:28,Trident_U2,-62.34103,30.95388,8170,70,1.81,-13.0,4.5,5684.3147331718255,4538.302293406692,7273.7625540083945,14400.0,0.5051223995839162,0.3947440786924879,0.31515988148657587,38.23670192822781,54.60739831285148,66.66343319126727
2017-07-11 00:00:28,Trident_U2,-62.31765,31.01845,7903,70,1.06,-15.0,4.5,3345.4759964742684,2605.722372285106,4240.518685775671,14400.0,0.29448046428997715,0.23232472197737974,0.18095294251979901,41.52748795024933,57.21312068513614,70.69563942698345
2017-07-11 04:00:28,Trident_U2,-62.30548,31.12377,8163,83,1.4,-15.0,4.5,5461.040929387861,1356.3541303322304,5626.9587309059525,14400.0,0.39076102297958004,0.3792389534297126,0.09419125905084934,46.89505979067837,58.56947481546852,75.03019400835306
2017-07-11 08:00:28,Trident_U2,-62.26847,31.24418,8165,73,1.87,-15.0,4.5,6246.00975496008,4124.772994094093,7485.0778293792255,14400.0,0.5197970714846685,0.4337506774277833,0.286442569034312,53.03164597849698,62.694247809562775,82.11531028739708
2017-07-11 12:00:28,Trident_U2,-62.21942,31.30958,8168,53,1.6,-15.0,4.5,3396.652788415964,5466.599614861957,6435.911863462927,14400.0,0.44693832385159216,0.23587866586221973,0.37962497325430256,56.364678444383394,68.16084742442456,88.44703555096928
2017-07-11 16:00:28,Trident_U2,-62.20813,31.33528,8164,66,0.46,-15.0,4.5,1336.9402387411906,1258.2597181700203,1835.926665293211,14400.0,0.12749490731202853,0.0928430721348049,0.0873791470951403,57.67444415343189,69.41910714259448,90.25161463864426
2017-07-11 20:00:29,Trident_U2,-62.22713,31.35793,8164,130,0.6,-13.0,4.5,1178.716183086509,-2117.5330413521133,2423.4929381964284,14401.0,0.1682864341501582,0.08184960649166788,-0.14704069449011273,58.82876883947601,67.30157410124268,89.38862298790357
2017-07-12 00:00:28,Trident_U2,-62.25117,31.35048,8166,197,0.68,-7.0,4.5,-387.4577542090895,-2679.244918707209,2707.115964585771,14399.0,0.18800722026430802,-0.0269086571434884,-0.18607159654887206,58.449090499391474,64.62232918253538,87.13404391615265
2017-07-12 04:00:28,Trident_U2,-62.2894,31.29703,8169,234,1.27,-4.0,4.5,-2777.6025535600597,-4260.731955947262,5086.149107721238,14400.0,0.3532047991473082,-0.1928890662194486,-0.29588416360744874,55.72508386503376,60.3615972265881,82.15112532101976
2017-07-12 08:00:28,Trident_U2,-62.32852,31.2779,8162,206,1.12,-3.0,4.5,-992.8575106086854,-4359.946879830626,4471.56603790181,14400.0,0.3105254192987368,-0.06894843823671426,-0.3027740888771268,54.75014704820648,56.00165034675753,78.31834678643773
2017-07-12 12:00:28,Trident_U2,-62.34067,31.2733,1,201,0.34,-3.0,4.3,-238.4325804917887,-1354.1296379007367,1374.96078914315,14400.0,0.09548338813494096,-0.01655781808970755,-0.09403678040977338,54.51571355010497,54.64752070885692,77.19011946811615
2017-07-12 16:00:28,Trident_U2,-62.34263,31.23743,8162,267,0.47,-4.0,4.5,-1858.5049404169401,-218.444181346014,1871.2986062940636,14400.0,0.12995129210375442,-0.12906284308450974,-0.015169734815695416,52.687639541059646,54.42907652751117,75.75296516999384
2017-07-12 20:00:29,Trident_U2,-62.35277,31.22552,8171,230,0.32,-4.0,4.5,-617.0435304167162,-1130.1152755943124,1287.5959205281497,14401.0,0.08941017433012635,-0.0428472696629898,-0.07847477783447764,52.08065894135213,53.29896125191676,74.5196236322941
2017-07-13 00:00:10,Trident_U2,-62.35235,31.25728,8171,89,0.41,-6.0,4.5,1644.8945105889768,46.80954140926228,1645.56041643347,14381.0,0.11442600767912314,0.11437970312140858,0.0032549573332356775,53.699272870246425,53.34577079332617,75.69268900182682
2017-07-13 04:00:28,Trident_U2,-62.33555,31.30725,8167,71,0.8,-9.0,4.5,2588.051826758579,1872.379321069538,3194.341337421103,14418.0,0.2215523191442019,0.17950144449705777,0.12986401172628229,56.245933036854474,55.21815011439562,78.82035958584714
2017-07-13 08:00:29,Trident_U2,-62.3349,31.33288,8165,89,0.33,-9.0,4.5,1328.173725158086,72.44315596697085,1330.1479072068496,14401.0,0.09236496821101657,0.09222788175530074,0.005030425384832362,57.552131498790395,55.29059327036303,79.80787896093202
2017-07-13 12:00:28,Trident_U2,-62.33782,31.39787,8163,93,0.84,-11.0,4.5,3367.9232392719996,-325.4370003278816,3383.6099341990957,14399.0,0.23498923079374232,0.2338998013245364,-0.02260136122841042,60.86424906319633,54.96515627003475,82.00990926599137
2017-07-13 16:00:28,Trident_U2,-62.33147,31.44447,8165,82,0.63,-13.0,4.5,2414.679037102866,707.7138488139301,2516.2539108816204,14400.0,0.17473985492233476,0.1676860442432546,0.049146795056522925,63.23913845762628,55.67287011884884,84.25352871027444
2017-07-13 20:00:29,Trident_U2,-62.33485,31.44158,7902,221,0.1,-11.0,4.5,-149.7831732535619,-376.7042983099259,405.39009281811536,14401.0,0.02815013490855603,-0.010400886969902223,-0.026158204174010546,63.091854782103034,55.296165820538995,83.89426735062726
2017-07-14 00:00:28,Trident_U2,-62.34953,31.44867,2,154,0.42,-10.0,4.2,367.4198561367005,-1636.1024657831488,1676.8508070860726,14399.0,0.11645605994069537,0.02551703980392392,-0.11362611749310013,63.45318388084939,53.660063354755636,83.1005953279113
2017-07-14 04:00:06,Trident_U2,-62.35397,31.43973,313,244,0.17,-11.0,4.2,-463.0649304642825,-494.8436654131846,677.7162998079998,14378.0,0.04713564472165808,-0.03220649119935196,-0.03441672453840483,62.99757282780531,53.16521968934268,82.43321397841227
2017-07-14 08:00:13,Trident_U2,-62.34633,31.41518,60,287,0.38,-11.0,4.2,-1271.4278393673585,851.4875512554688,1530.2156059396937,14407.0,0.10621334114941998,-0.08825070031008249,0.05910234963944394,61.74642458961768,54.01670724059762,82.03917119716516
