time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2015-07-27 10:00:00,-57.5922,19.0216,0.63,-1.4,973.5,-2.3,14.8,40.0,0,2015P6,1507.6794653429656,-1692.8285643727738,2266.884628421402,3600.0,0.6296901745615006,0.4187998514841571,-0.47023015677021496,955.8834272468133,1214.1816578367789,1545.299396464123
2015-07-27 11:00:00,-57.6082,19.0466,,-1.4,972.4,-2.9,14.8,36.0,0,2015P6,1495.0902110046256,-1781.9292344630169,2326.062453090159,3600.0,0.6461284591917109,0.4153028363901738,-0.4949803429063936,956.8883714026076,1212.399728602316,1544.5220805286353
2015-07-27 12:00:00,-57.6082,19.0466,0.323,-1.4,970.7,-3.7,14.8,36.0,61,2015P6,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,956.8883714026076,1212.399728602316,1544.5220805286353
2015-07-27 13:00:00,-57.6422,19.0822,1.206,-1.5,968.1,-5.5,14.8,36.0,0,2015P6,2128.0736239300886,-3786.614703595447,4343.633071790499,3600.0,1.2065647421640275,0.5911315622028024,-1.051837417665402,958.3193433269845,1208.6131138987207,1542.4401521234543
2015-07-27 14:00:00,-57.6616,19.0936,0.629,-1.5,965.6,-6.9,14.8,40.0,0,2015P6,680.8254800119993,-2160.6069878152016,2265.33571243413,3600.0,0.6292599201205917,0.189118188892222,-0.6001686077264449,958.7775588662112,1206.4525069109059,1541.032789663173
2015-07-27 15:00:00,-57.6822,19.1012,0.65,-1.4,962.5,-8.2,14.8,40.0,0,2015P6,453.64153551769965,-2294.260084752267,2338.6791099324287,3600.0,0.6496330860923413,0.12601153764380546,-0.6372944679867408,959.0830312955721,1204.1582468261538,1539.4276028181837
2015-07-27 16:00:00,-57.705,19.0986,0.707,-1.4,958.2,-9.9,14.8,40.0,0,2015P6,-155.10518385851563,-2539.2869201024805,2544.0195912499034,3600.0,0.7066721086805288,-0.04308477329403212,-0.7053574778062446,958.978527983673,1201.6189599060513,1537.3769680658784
2015-07-27 17:00:00,-57.7284,19.0906,0.736,-1.4,952.9,-12.6,14.8,40.0,0,2015P6,-476.9470517687648,-2606.1198359809373,2649.403534700636,3600.0,0.7359454263057322,-0.13248529215799024,-0.7239221766613715,958.6569766316621,1199.01284007007,1535.1400553361425
2015-07-27 18:00:00,-57.7524,19.0858,0.747,-1.4,948.8,-13.7,14.8,40.0,0,2015P6,-285.9836513382551,-2672.953494179826,2688.2088889967054,3600.0,0.7467246913879737,-0.0794399031495153,-0.7424870817166184,958.4640438646467,1196.3398865758904,1532.9326298287822
2015-07-27 19:00:00,-57.7774,19.091,0.778,-1.4,946.4,-11.8,14.8,40.0,0,2015P6,309.6104792223696,-2784.3373986812517,2801.498420227894,3600.0,0.7781940056188594,0.08600291089510266,-0.7734270551892366,958.673054296041,1193.5555491772093,1530.8915291440505
2015-07-27 20:00:00,-57.7978,19.1132,0.73,-1.4,944.9,-8.1,14.8,36.0,0,2015P6,1320.886034272028,-2272.0275114804767,2628.0884552196967,3600.0,0.7300245708943602,0.36691278729778554,-0.6311187531890213,959.5653486934532,1191.2835216657288,1529.6803873376587
2015-07-27 21:00:00,-57.8184,19.1298,0.694,-1.4,942.6,-6.2,14.8,36.0,0,2015P6,987.1326179036711,-2294.3097608605176,2497.6565184406763,3600.0,0.6937934773446324,0.274203504973242,-0.6373082669056993,960.2325392994045,1188.9892119048684,1528.313408812323
