time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),submerged_boolean (none),accelometer_variance (),sampling_ratio (s),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-01-20 19:00:26,-65.7899,-61.1163,0.055,4.5,978.5,0.2,0.0,3.0,60.0,2019P93,-50.352435481561926,189.55743641643915,196.1310517477975,3600.0,0.054480847707721526,-0.013986787633767202,0.05265484344901088
2019-01-20 20:00:54,-65.7875,-61.1189,0.08,2.5,978.6,0.3,0.0,3.0,60.0,2019P93,-119.02269283975475,267.6104261473672,292.8852020734439,3628.0,0.0807291075174873,-0.03280669593157518,0.07376252098880022
2019-01-20 21:00:26,-65.7848,-61.12,0.086,1.1,978.8,0.5,0.0,5.0,60.0,2019P93,-50.36044049698374,301.06162819665195,305.2446198370568,3572.0,0.08545482078305061,-0.014098667552347071,0.08428377049178386
2019-01-20 22:00:27,-65.7823,-61.1209,0.076,0.1,979.0,0.5,0.0,2.0,60.0,2019P93,-41.20830977704807,278.7606712845891,281.79005775526554,3601.0,0.07825327902117898,-0.011443573945306323,0.07741201646336825
2019-01-20 23:00:26,-65.7803,-61.1211,0.064,-0.9,978.8,0.2,0.0,4.0,60.0,2019P93,-9.158289604214747,223.00847086435488,223.19644339848358,3599.0,0.062016238788131034,-0.0025446761890010414,0.06196400968723392
2019-01-21 00:00:54,-65.7785,-61.1209,0.054,-1.8,978.9,0.1,0.0,5.0,60.0,2019P93,9.158999536663858,200.7075734883321,200.91644364781803,3628.0,0.055379394610754695,0.002524531294560049,0.05532182290196585
2019-01-21 01:00:26,-65.7776,-61.1203,0.03,-2.4,978.7,-0.3,0.0,4.0,60.0,2019P93,27.47891539843847,100.35376887617579,104.04792030178906,3572.0,0.0291287570833676,0.007692865453090277,0.028094560155704308
2019-01-21 02:00:26,-65.7778,-61.1198,0.009,-2.4,978.7,-0.1,0.0,4.0,60.0,2019P93,22.899894818838415,-22.3008364984974,31.964550540349794,3600.0,0.008879041816763831,0.006361081894121782,-0.006194676805138167
2019-01-21 03:00:54,-65.7789,-61.1186,0.037,-2.5,978.8,-0.1,0.0,5.0,60.0,2019P93,54.959321616905086,-122.65461125807566,134.40491321175753,3628.0,0.03704655821713273,0.015148655351958404,-0.03380777598072648
2019-01-21 04:00:26,-65.7802,-61.1165,0.049,-3.3,978.6,-0.1,0.0,4.0,60.0,2019P93,96.17471306339556,-144.95547260928222,173.95880107717124,3572.0,0.048700672194056896,0.026924611719875577,-0.040581039364300735
2019-01-21 05:00:26,-65.7813,-61.1142,0.045,-4.2,978.6,-0.1,0.0,4.0,60.0,2019P93,105.32890287403502,-122.65465007962035,161.67356298047625,3600.0,0.04490932305013229,0.02925802857612084,-0.03407073613322788
2019-01-21 06:00:54,-65.7823,-61.1124,0.038,-4.8,978.6,-0.2,0.0,5.0,60.0,2019P93,82.4278011439265,-111.50424278384408,138.6634002187352,3628.0,0.0382203418463989,0.022719901087080073,-0.03073435578386
2019-01-21 07:00:26,-65.7831,-61.1105,0.035,-6.2,978.4,-0.2,0.0,4.0,60.0,2019P93,87.0037512369313,-89.20340481342537,124.6069827883079,3572.0,0.03488437368093726,0.02435715320182847,-0.024972957674531178
2019-01-21 08:00:25,-65.7835,-61.1076,0.039,-6.2,978.0,-0.6,0.0,4.0,60.0,2019P93,132.7910815956748,-44.60170593466556,140.0813460944445,3599.0,0.03892229677533885,0.03689666062675043,-0.012392805205519745
2019-01-21 09:00:54,-65.7838,-61.1035,0.053,-4.0,978.3,-0.3,0.0,4.0,60.0,2019P93,187.7362045730806,-33.451280995382085,190.6931323035457,3629.0,0.05254701909714679,0.051732213990928796,-0.009217768254445325
2019-01-21 10:00:26,-65.7838,-61.0995,0.051,-1.7,978.6,0.2,0.0,4.0,60.0,2019P93,183.15514291833867,0.0,183.15514291833867,3572.0,0.05127523597937813,0.05127523597937813,0.0
2019-01-21 11:00:25,-65.7836,-61.0957,0.049,-0.7,978.8,0.8,0.0,4.0,60.0,2019P93,173.997385775297,22.300854143419087,175.42068963541212,3599.0,0.04874150865112868,0.04834603661441984,0.006196402929541286
2019-01-21 12:00:54,-65.7834,-61.0924,0.042,0.1,978.9,0.6,0.0,5.0,60.0,2019P93,151.1041643269634,22.300853556369898,152.74094587337285,3629.0,0.042088990320576704,0.0416379620630927,0.006145178714899393
