time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-11-22 14:00:00+00:00,-58.3946,5.6522,,Point,-0.71,1007.6,ISVP4,245.61994212221384,0.0,245.61994212221384,3600.0,0.06822776170061495,0.06822776170061495,0.0
2019-11-22 15:00:00+00:00,-58.3944,5.6494,,Point,-1.17,1007.0,ISVP4,-163.7466280961777,22.276916044113165,165.25501263593912,3600.0,0.04590417017664976,-0.04548517447116047,0.006188032234475879
2019-11-22 16:00:00+00:00,-58.3962,5.6408,,Point,-1.07,1006.3,ISVP4,-502.93891947811596,-200.49226960771034,541.4283949870617,3600.0,0.15039677638529492,-0.13970525541058776,-0.055692297113252874
2019-11-22 17:00:00+00:00,-58.3998,5.629,,Point,-1.61,1006.0,ISVP4,-690.0438151130139,-400.984709414162,798.0909747388973,3600.0,0.22169193742747148,-0.19167883753139275,-0.11138464150393389
2019-11-22 18:00:00+00:00,-58.4058,5.6166,,Point,-2.0,1005.6,ISVP4,-725.0568761612418,-668.3083532862819,986.0748088968302,3600.0,0.2739096691380084,-0.20140468782256718,-0.1856412092461894
2019-11-22 19:00:00+00:00,-58.4142,5.6046,,Point,-2.51,1005.3,ISVP4,-701.5487247839839,-935.6327534405107,1169.4354460835814,3600.0,0.3248431794676615,-0.19487464577332886,-0.2598979870668085
2019-11-22 20:00:00+00:00,-58.4254,5.598,,Point,-2.69,1004.7,ISVP4,-385.7599924268421,-1247.5122592356868,1305.7938614882844,3600.0,0.362720517080079,-0.10715555345190057,-0.3465311831210241
2019-11-22 21:00:00+00:00,-58.4368,5.5974,,Point,-2.76,1004.6,ISVP4,-35.05796097892781,-1269.7915184138621,1270.2753878052513,3600.0,0.35285427439034756,-0.009738322494146613,-0.3527198662260728
2019-11-22 22:00:00+00:00,-58.4476,5.6014,,Point,-2.8,1004.4,ISVP4,233.64421058913024,-1202.962483544101,1225.442105509848,3600.0,0.34040058486384667,0.06490116960809174,-0.3341562454289169
2019-11-23 00:00:00+00:00,-58.4596,5.6168,,Point,-2.74,1003.0,ISVP4,899.2546927120667,-1336.6273749857353,1610.9722970696705,7200.0,0.22374615237078757,0.12489648509889816,-0.18564269097024103
2019-11-23 01:00:00+00:00,-58.4622,5.6222,,Point,-2.76,1002.2,ISVP4,315.2157173820137,-289.602929913339,428.0546758289738,3600.0,0.11890407661915939,0.0875599214950038,-0.08044525830926083
2019-11-23 02:00:00+00:00,-58.4636,5.6254,,Point,-2.82,1001.5,ISVP4,186.78071398189817,-155.94008815759562,243.31943245492403,3600.0,0.0675887312374789,0.05188353166163838,-0.043316691154887677
2019-11-23 03:00:00+00:00,-58.4622,5.626,,Point,-2.86,1000.8,ISVP4,35.01999206553273,155.94008815759562,159.82399988383682,3600.0,0.044395555523288006,0.009727775573759093,0.043316691154887677
2019-11-23 04:00:00+00:00,-58.4596,5.6208,,Point,-2.9,1000.3,ISVP4,-303.5186601737968,289.602929913339,419.5157137558581,3600.0,0.11653214270996058,-0.08431073893716577,0.08044525830926083
