time,Unit_ID,latitude (deg),longitude (deg),Altitude,Bearing,Speed,temperature (degC),Battery Level,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2017-07-13 20:00:11,Trident_U3,-62.07297,30.71148,8170,316,0.4,-10.0,4.5,-673.5039112951589,1476.6710061289327,1623.0110224122668,14382.0,0.11285016148048024,-0.046829642003557145,0.10267494132449817
2017-07-14 00:00:06,Trident_U3,-62.0842,30.71797,7969,150,0.32,-11.0,4.5,339.25100641705103,-1251.5481477126848,1296.7127713561067,14395.0,0.09008077605808314,0.023567280751445017,-0.08694325444339596
2017-07-14 04:00:10,Trident_U3,-62.07295,30.71848,7908,3,0.31,-10.0,4.5,26.649326581931685,1253.777082924175,1254.060269792933,14404.0,0.08706333447604367,0.0018501337532582398,0.08704367418246146
2017-07-14 08:00:28,Trident_U3,-62.04413,30.65648,8163,295,1.14,-11.0,4.5,-3240.9207143376543,3211.888885254811,4562.871605452677,14418.0,0.3164704955925008,-0.22478295979592552,0.22276937753189147
2017-07-14 12:00:28,Trident_U3,-62.02613,30.61087,8165,292,0.78,-13.0,4.5,-2386.4264351007278,2006.0306203206023,3117.5615438690907,14400.0,0.21649732943535352,-0.1657240579931061,0.1393076819667085
2017-07-14 16:00:09,Trident_U3,-62.00412,30.62683,5321,36,0.65,-12.0,4.5,835.5596809596516,2452.922501053765,2591.329538407119,14381.0,0.18019119243495715,0.05810163973017534,0.17056689389150717
2017-07-14 20:00:28,Trident_U3,-61.97785,30.65037,8167,42,0.79,-13.0,4.5,1233.2881181111866,2927.67137293297,3176.8316370505777,14419.0,0.22032260469176626,0.0855321532777021,0.2030426085673743
2017-07-15 00:00:28,Trident_U3,-61.96402,30.67657,8165,62,0.51,-14.0,4.5,1373.8305770948693,1541.2857428676705,2064.696635277921,14400.0,0.14338171078318895,0.0954049011871437,0.10703373214358823
2017-07-15 04:00:28,Trident_U3,-61.95953,30.71702,7902,84,0.54,-13.0,4.5,2122.0080681855848,500.38783222236236,2180.2078396521997,14400.0,0.15140332219806943,0.14736167140177672,0.03474915501544183
2017-07-15 08:00:29,Trident_U3,-61.94775,30.7559,8167,73,0.6,-13.0,4.5,2039.9455322489696,1312.8199671996404,2425.875932693302,14401.0,0.16845190838784124,0.14165304716679186,0.09116172260257206
2017-07-15 12:00:28,Trident_U3,-61.93272,30.76808,1,39,0.45,-14.0,4.1,639.3033270410601,1675.0123451575482,1792.8678424234058,14399.0,0.1245133580403782,0.044399147651993896,0.11632838010678159
2017-07-15 16:00:28,Trident_U3,-61.92982,30.76437,8164,308,0.09,-15.0,4.5,-194.82603527491938,323.18891756738066,377.3701902102487,14400.0,0.02620626320904505,-0.013529585782980512,0.0224436748310681
2017-07-15 20:00:28,Trident_U3,-61.92628,30.78777,8169,81,0.32,-16.0,4.5,1228.9383553225875,394.51318249319155,1290.7091586968354,14400.0,0.08963258046505801,0.08534294134184636,0.027396748784249414
2017-07-16 00:00:28,Trident_U3,-61.90738,30.79068,4,9,0.53,-16.0,4.1,152.84719399331632,2106.295736555089,2111.834272508564,14400.0,0.1466551578130947,0.010614388471758078,0.14627053726077008
2017-07-16 04:00:28,Trident_U3,-61.89915,30.77752,7902,302,0.29,-15.0,4.5,-691.6533112876082,917.1841002772036,1148.7432162221533,14400.0,0.07977383445987175,-0.048031479950528345,0.06369334029702803
2017-07-16 08:00:29,Trident_U3,-61.88975,30.7981,8166,65,0.38,-15.0,4.5,1081.9186666300245,1047.5722255275225,1505.9732962105193,14401.0,0.10457421680511904,0.07512802351434099,0.07274301961860444
2017-07-16 12:00:28,Trident_U3,-61.87097,30.81043,8163,33,0.55,-15.0,4.5,648.4037705597168,2092.9112554341946,2191.051111407307,14399.0,0.15216689432650232,0.045031166786562736,0.14535115323523817
2017-07-16 16:00:28,Trident_U3,-61.8559,30.79963,8165,324,0.44,-15.0,4.5,-568.2928479995646,1679.451246980465,1772.995558954307,14400.0,0.1231246915940491,-0.03946478111108088,0.11662855881808784
2017-07-16 20:00:28,Trident_U3,-61.84888,30.7876,8169,300,0.25,-15.0,4.5,-633.3260408369669,782.3310332853363,1006.5504059129524,14400.0,0.06989933374395503,-0.0439809750581227,0.054328543978148354
2017-07-17 00:00:29,Trident_U3,-61.84142,30.80112,8163,61,0.27,-14.0,4.5,711.9306924321122,831.3651445828316,1094.5379456437768,14401.0,0.0760043014821038,0.04943619834956685,0.05772968159036397
2017-07-17 04:00:28,Trident_U3,-61.82955,30.79775,8164,344,0.33,-14.0,4.5,-177.4992104163034,1322.8271157564486,1334.682564462028,14399.0,0.0926927261936265,-0.012327190111556596,0.09186937396739
2017-07-17 08:00:29,Trident_U3,-61.82152,30.76763,8167,285,0.45,-14.0,4.5,-1587.0451609264023,894.8851087966763,1821.9582049997607,14401.0,0.12651608950765647,-0.1102038164659678,0.062140483910608724
2017-07-17 12:00:28,Trident_U3,-61.8189,30.76193,0,295,0.1,-13.0,4.1,-300.4157123810786,291.97972029835165,418.9292987019822,14399.0,0.0290943328496411,-0.020863651113346662,0.020277777644166377
2017-07-17 16:00:28,Trident_U3,-61.8011,30.74532,8167,317,0.54,-14.0,4.5,-875.4965364346294,1983.6760447509423,2168.286151740073,14400.0,0.15057542720417172,-0.06079837058573816,0.1377552808854821
2017-07-17 20:00:28,Trident_U3,-61.79277,30.7069,8171,282,0.56,-15.0,4.5,-2026.252252013854,928.3140324085578,2228.781086503978,14400.0,0.154776464340554,-0.14071196194540653,0.06446625225059428
2017-07-17 23:59:56,Trident_U3,-61.79228,30.69412,41,272,0.17,-14.0,4.1,-674.1935193032031,54.60667244721487,676.4013528565683,14368.0,0.047076931574093005,-0.046923268325668364,0.0038005757549564915
2017-07-18 04:00:29,Trident_U3,-61.78412,30.69628,8170,15,0.23,-13.0,4.5,113.95001476850597,909.3676822740779,916.4792345875989,14433.0,0.06349887304008861,0.00789510252674468,0.0630061444103151
2017-07-18 08:00:28,Trident_U3,-61.77357,30.66747,8170,290,0.48,-13.0,4.5,-1520.264001703322,1175.7127295367018,1921.848864315204,14399.0,0.13347099550768832,-0.10558122103641378,0.0816523876336344
2017-07-18 12:00:28,Trident_U3,-61.78555,30.63063,8165,252,0.59,-11.0,4.5,-1944.6621240674583,-1335.0748794585702,2358.8420274668406,14400.0,0.1638084741296417,-0.13504598083801794,-0.09271353329573404
2017-07-18 16:00:28,Trident_U3,-61.79985,30.60363,8167,242,0.53,-11.0,4.5,-1424.6866227659273,-1593.6233388524433,2137.607849729083,14400.0,0.14844498956451962,-0.09893657102541162,-0.11066828742030857
2017-07-18 20:00:28,Trident_U3,-61.80398,30.54828,8168,266,0.74,-11.0,4.5,-2919.2508324623977,-460.2568734232299,2955.3107810119955,14400.0,0.20522991534805524,-0.20272575225433317,-0.031962282876613186
2017-07-19 00:00:28,Trident_U3,-61.82407,30.46283,0,257,1.25,-10.0,4.1,-4506.169628932866,-2238.8806331296846,5031.714540205966,14400.0,0.34942462084763654,-0.31292844645367124,-0.15547782174511698
2017-07-19 04:00:28,Trident_U3,-61.83768,30.4076,8166,256,0.82,-10.0,4.5,-2910.62858333709,-1516.736720787653,3282.110453705749,14400.0,0.22792433706289925,-0.20212698495396458,-0.10532893894358701
2017-07-19 08:00:29,Trident_U3,-61.83107,30.34235,8164,276,0.88,-12.0,4.5,-3437.161202047644,736.6373894028633,3515.2114833005244,14401.0,0.2440949575238195,-0.2386751754772338,0.05115182205422285
2017-07-19 12:00:28,Trident_U3,-61.82643,30.25022,1,273,1.22,-12.0,4.1,-4854.157616991981,517.0945034257809,4881.621953416141,14399.0,0.33902506795028414,-0.3371176899084645,0.03591183439306764
2017-07-19 16:00:28,Trident_U3,-61.8201,30.18545,5,276,0.87,-14.0,4.1,-3413.1257691695823,705.4322357275215,3485.263570430934,14400.0,0.2420321923910371,-0.23702262285899878,0.048988349703300106
2017-07-19 20:00:28,Trident_U3,-61.79258,30.12517,8168,295,1.1,-12.0,4.5,-3177.174564401491,3066.8952491491473,4415.912666927802,14400.0,0.3066606018699863,-0.2206371225278813,0.21297883674646856
2017-07-20 00:00:10,Trident_U3,-61.7644,30.02313,23,285,1.55,-11.0,4.1,-5383.030082586278,3140.4344064861275,6232.121719885668,14382.0,0.43332789041062914,-0.3742893952570072,0.21835867101141201
2017-07-20 04:00:28,Trident_U3,-61.75213,29.93365,8165,278,1.23,-10.0,4.5,-4724.759952567578,1367.388776754764,4918.649070240859,14418.0,0.3411464190762144,-0.327698706656095,0.09483900518482202
2017-07-20 08:00:28,Trident_U3,-61.7214,29.88225,1,301,1.09,-11.0,4.1,-2715.1248508795625,3424.590413721772,4370.322923723009,14400.0,0.3034946474807645,-0.18855033686663628,0.2378187787306786
2017-07-20 12:00:28,Trident_U3,-61.68075,29.82022,8164,303,1.39,-12.0,4.5,-3279.903533077022,4530.0641029902035,5592.785349313128,14400.0,0.3883878714800783,-0.22777107868590432,0.31458778492987527
2017-07-20 16:00:28,Trident_U3,-61.65323,29.7782,8164,303,0.94,-12.0,4.5,-2224.7783561315246,3066.8324459680985,3788.8124769581773,14400.0,0.2631119775665401,-0.1544984969535781,0.21297447541445128
2017-07-20 20:00:28,Trident_U3,-61.6191,29.78048,7902,4,0.95,-10.0,4.5,120.8236204962182,3803.434458836223,3805.3530755939855,14400.0,0.26426063024958235,0.008390529201126264,0.2641273929747377
2017-07-21 00:00:28,Trident_U3,-61.57973,29.75747,0,330,1.14,-8.0,4.1,-1220.708776558364,4387.3543437287735,4554.010106993874,14400.0,0.31625070187457455,-0.08477144281655305,0.3046773849811648
2017-07-21 04:00:28,Trident_U3,-61.5514,29.6898,8163,293,1.19,-8.0,4.5,-3594.534607110442,3157.051767987988,4784.104399725272,14400.0,0.33222947220314386,-0.249620458827114,0.21923970611027696
